ZONE,ADJ_SA4,TRIP MODE,QUANTITY
10, City and Inner South (CBD),TNC_SHARED,2
10, City and Inner South (CBD),TNC_SINGLE,3
10, City and Inner South (CBD),WALK,86
10, City and Inner South (CBD),WALK_AB,20
10, City and Inner South (CBD),WALK_BM,18
10, City and Inner South (CBD),WALK_MR,49
11, City and Inner South (CBD),BIKE,15
11, City and Inner South (CBD),DRIVEALONE,421
11, City and Inner South (CBD),KNR_TRN,10
11, City and Inner South (CBD),PNR_TRN,11
11, City and Inner South (CBD),SHARED2,90
11, City and Inner South (CBD),SHARED3,11
11, City and Inner South (CBD),TNC_SHARED,6
11, City and Inner South (CBD),TNC_SINGLE,16
11, City and Inner South (CBD),WALK,88
11, City and Inner South (CBD),WALK_AB,22
11, City and Inner South (CBD),WALK_BM,46
11, City and Inner South (CBD),WALK_MR,74
12, City and Inner South (CBD),BIKE,1
12, City and Inner South (CBD),DRIVEALONE,89
12, City and Inner South (CBD),KNR_TRN,3
12, City and Inner South (CBD),PNR_TRN,2
12, City and Inner South (CBD),SHARED2,10
12, City and Inner South (CBD),TNC_SHARED,1
12, City and Inner South (CBD),TNC_SINGLE,1
12, City and Inner South (CBD),WALK,35
12, City and Inner South (CBD),WALK_AB,5
12, City and Inner South (CBD),WALK_BM,13
12, City and Inner South (CBD),WALK_MR,20
13, City and Inner South (CBD),BIKE,10
13, City and Inner South (CBD),DRIVEALONE,367
13, City and Inner South (CBD),KNR_TRN,9
13, City and Inner South (CBD),PNR_TRN,8
13, City and Inner South (CBD),SHARED2,79
13, City and Inner South (CBD),SHARED3,5
13, City and Inner South (CBD),TAXI,3
13, City and Inner South (CBD),TNC_SHARED,7
13, City and Inner South (CBD),TNC_SINGLE,10
13, City and Inner South (CBD),WALK,151
13, City and Inner South (CBD),WALK_AB,26
13, City and Inner South (CBD),WALK_BM,46
13, City and Inner South (CBD),WALK_MR,91
14, City and Inner South (CBD),BIKE,12
14, City and Inner South (CBD),DRIVEALONE,507
14, City and Inner South (CBD),KNR_TRN,28
14, City and Inner South (CBD),PNR_TRN,18
14, City and Inner South (CBD),SHARED2,120
14, City and Inner South (CBD),SHARED3,12
14, City and Inner South (CBD),TAXI,10
14, City and Inner South (CBD),TNC_SHARED,11
14, City and Inner South (CBD),TNC_SINGLE,13
14, City and Inner South (CBD),WALK,204
14, City and Inner South (CBD),WALK_AB,66
14, City and Inner South (CBD),WALK_BM,90
14, City and Inner South (CBD),WALK_MR,186
15, City and Inner South (CBD),BIKE,12
15, City and Inner South (CBD),DRIVEALONE,174
15, City and Inner South (CBD),KNR_TRN,4
15, City and Inner South (CBD),PNR_TRN,7
15, City and Inner South (CBD),SHARED2,41
15, City and Inner South (CBD),TAXI,2
15, City and Inner South (CBD),TNC_SHARED,4
15, City and Inner South (CBD),TNC_SINGLE,4
15, City and Inner South (CBD),WALK,39
15, City and Inner South (CBD),WALK_AB,17
15, City and Inner South (CBD),WALK_BM,34
15, City and Inner South (CBD),WALK_MR,47
16, City and Inner South (CBD),BIKE,12
16, City and Inner South (CBD),DRIVEALONE,211
16, City and Inner South (CBD),KNR_TRN,17
16, City and Inner South (CBD),PNR_TRN,6
16, City and Inner South (CBD),SHARED2,46
16, City and Inner South (CBD),SHARED3,2
16, City and Inner South (CBD),TAXI,4
16, City and Inner South (CBD),TNC_SHARED,3
16, City and Inner South (CBD),TNC_SINGLE,1
16, City and Inner South (CBD),WALK,80
16, City and Inner South (CBD),WALK_AB,16
16, City and Inner South (CBD),WALK_BM,56
16, City and Inner South (CBD),WALK_MR,83
17, City and Inner South (CBD),BIKE,32
17, City and Inner South (CBD),DRIVEALONE,793
17, City and Inner South (CBD),KNR_TRN,22
17, City and Inner South (CBD),PNR_TRN,30
17, City and Inner South (CBD),SHARED2,180
17, City and Inner South (CBD),SHARED3,14
17, City and Inner South (CBD),TAXI,12
17, City and Inner South (CBD),TNC_SHARED,19
17, City and Inner South (CBD),TNC_SINGLE,12
17, City and Inner South (CBD),WALK,207
17, City and Inner South (CBD),WALK_AB,95
17, City and Inner South (CBD),WALK_BM,122
17, City and Inner South (CBD),WALK_MR,226
18, City and Inner South (CBD),BIKE,3
18, City and Inner South (CBD),DRIVEALONE,152
18, City and Inner South (CBD),KNR_TRN,3
18, City and Inner South (CBD),PNR_TRN,8
18, City and Inner South (CBD),SHARED2,29
18, City and Inner South (CBD),SHARED3,5
18, City and Inner South (CBD),TAXI,2
18, City and Inner South (CBD),TNC_SHARED,1
18, City and Inner South (CBD),TNC_SINGLE,1
18, City and Inner South (CBD),WALK,95
18, City and Inner South (CBD),WALK_AB,17
18, City and Inner South (CBD),WALK_BM,27
18, City and Inner South (CBD),WALK_MR,49
19, City and Inner South (CBD),BIKE,9
19, City and Inner South (CBD),DRIVEALONE,432
19, City and Inner South (CBD),KNR_TRN,19
19, City and Inner South (CBD),PNR_TRN,13
19, City and Inner South (CBD),SCHOOLBUS,1
19, City and Inner South (CBD),SHARED2,141
19, City and Inner South (CBD),SHARED3,23
19, City and Inner South (CBD),TAXI,2
19, City and Inner South (CBD),TNC_SHARED,4
19, City and Inner South (CBD),TNC_SINGLE,5
19, City and Inner South (CBD),WALK,372
19, City and Inner South (CBD),WALK_AB,64
19, City and Inner South (CBD),WALK_BM,90
19, City and Inner South (CBD),WALK_MR,179
20, City and Inner South (CBD),BIKE,10
20, City and Inner South (CBD),DRIVEALONE,366
20, City and Inner South (CBD),KNR_TRN,21
20, City and Inner South (CBD),PNR_TRN,9
20, City and Inner South (CBD),SHARED2,75
20, City and Inner South (CBD),SHARED3,3
20, City and Inner South (CBD),TAXI,7
20, City and Inner South (CBD),TNC_SHARED,5
20, City and Inner South (CBD),TNC_SINGLE,8
20, City and Inner South (CBD),WALK,166
20, City and Inner South (CBD),WALK_AB,38
20, City and Inner South (CBD),WALK_BM,72
20, City and Inner South (CBD),WALK_MR,102
21, City and Inner South (CBD),BIKE,28
21, City and Inner South (CBD),DRIVEALONE,1027
21, City and Inner South (CBD),KNR_TRN,69
21, City and Inner South (CBD),PNR_TRN,32
21, City and Inner South (CBD),SHARED2,228
21, City and Inner South (CBD),SHARED3,19
21, City and Inner South (CBD),TAXI,16
21, City and Inner South (CBD),TNC_SHARED,20
21, City and Inner South (CBD),TNC_SINGLE,29
21, City and Inner South (CBD),WALK,450
21, City and Inner South (CBD),WALK_AB,126
21, City and Inner South (CBD),WALK_BM,197
21, City and Inner South (CBD),WALK_MR,293
22, City and Inner South (CBD),BIKE,2
22, City and Inner South (CBD),DRIVEALONE,225
22, City and Inner South (CBD),KNR_TRN,18
22, City and Inner South (CBD),PNR_TRN,12
22, City and Inner South (CBD),SHARED2,55
22, City and Inner South (CBD),SHARED3,7
22, City and Inner South (CBD),TAXI,4
22, City and Inner South (CBD),TNC_SHARED,3
22, City and Inner South (CBD),TNC_SINGLE,6
22, City and Inner South (CBD),WALK,108
22, City and Inner South (CBD),WALK_AB,34
22, City and Inner South (CBD),WALK_BM,49
22, City and Inner South (CBD),WALK_MR,101
23, City and Inner South (CBD),BIKE,9
